Date/Time,Media Description,Media Link
"You uploaded a feed document on February 12, 2026 at 10:55 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D561FAQE4I48zr_cnag/feedshare-document-sanitized-pdf/B56ZxUEQVdJQA8-/0/1770936928439?e=1773270000&v=beta&t=jCWAkHFLPbIe8VEGSovWGpTyixph4BeJeDZDhhSjYz0
"You uploaded a feed document on February 12, 2026 at 10:54 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D561FAQFlCPT2k_ROow/feedshare-document-url-metadata-scrapper-pdf/B56ZxUEHCnHoA4-/0/1770936890410?e=1773270000&v=beta&t=dzPZ3XLr2iR_3JPnqMiz53_aReRtMFlAzqKOHxjn2xg
"You uploaded a feed document on February 12, 2026 at 10:53 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D561FAQE-6xbbs2J-hw/feedshare-document-chunked-pdf/B56ZxUD48oG4Bk-/0/1770936832742?e=1773270000&v=beta&t=57EbOuYE11WpFUY4wRRgvAPuUops28uJaMvxVT1o6OY
"You uploaded a article inline photo on March 26, 2025 at 3:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E12AQED--GKpDaYCQ/article-inline_image-shrink_1000_1488/B4EZXTECdGGgAQ-/0/1743002807886?e=1774483200&v=beta&t=-P1LSgOChgQpT3v474DD0LEZ-2bn0SchhENtcN37lpc
"You uploaded a article cover photo on March 26, 2025 at 3:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E12AQHW_QVXFnGDjw/article-cover_image-shrink_720_1280/B4EZXTD7sfGgAY-/0/1743002783683?e=1774483200&v=beta&t=SRhPH6ZinGpR-xNGr6zkEj6mmkud4qSplO8TxNvdjBs
"You uploaded a article inline photo on February 20, 2025 at 8:38 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5612AQEuaAn9PSOO5Q/article-inline_image-shrink_1500_2232/B56ZUlFcXuGsAY-/0/1740083941182?e=1774483200&v=beta&t=b6EjXMdX6GXn8fNp67fGdBep9yupdO0Cr--uOhJ4wGw
"You uploaded a article inline photo on February 20, 2025 at 8:13 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5612AQEPA2bODXzQWg/article-inline_image-shrink_1000_1488/B56ZUk_qlqHQAQ-/0/1740082426692?e=1774483200&v=beta&t=bzLzrlO93q4zNFzEZVKXubTDjshnmCWz3onoJWpd9no
"You uploaded a article inline photo on February 20, 2025 at 8:11 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5612AQHNdDS3Q1bZhg/article-inline_image-shrink_1500_2232/B56ZUk_QkIGsAU-/0/1740082320248?e=1774483200&v=beta&t=Zf404oV7q80yAkzzsa8g3na_VijA-fo6IL7XVYz5bJs
"You uploaded a article inline photo on February 20, 2025 at 6:58 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5612AQHhPGn4osdZag/article-inline_image-shrink_1500_2232/B56ZUkudwSHoAY-/0/1740077915946?e=1774483200&v=beta&t=3T4rWlgFdhhtFrB1I3z1pX3utZ52xold2sCKozlTqro
"You uploaded a article cover photo on February 20, 2025 at 6:55 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5612AQHYjeXaXMeLTw/article-cover_image-shrink_720_1280/B56ZUktz2oGoAU-/0/1740077747657?e=1774483200&v=beta&t=rbGczkW-mBR0llIlki87kmrE1SjVMPL-8ZAmpBeoPSc
"You uploaded a document on August 2, 2024 at 2:54 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D562DAQGjklvM4SF0PQ/profile-treasury-document-pdf-analyzed/profile-treasury-document-pdf-analyzed/0/1722610471980?e=1773270000&v=beta&t=41QNC7-ueFb6gvTnTIRRrn8o_blGknxR2hVH9hoeE6k
"You uploaded a document on August 2, 2024 at 2:41 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D562DAQHLRO58EOFhTw/profile-treasury-document-pdf-analyzed/profile-treasury-document-pdf-analyzed/0/1722609722309?e=1773270000&v=beta&t=NPRWu_szgTVRcr8_a5qlASYialNrwbuRMsr9BcpEiVI
"You uploaded a profile photo on January 7, 2022 at 9:27 PM (GMT)", -,https://media.licdn.com/dms/image/v2/C5603AQF8142JPEefJA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1641590864497?e=1774483200&v=beta&t=jqf91axluG_WqIMJQnIUZSGCNrYacfe3bcNdLe__kB8
"You uploaded a profile photo on January 7, 2022 at 9:27 PM (GMT)", -,https://media.licdn.com/dms/image/v2/C5604AQGHpf2Mqb171w/profile-originalphoto-shrink_900_1200/profile-originalphoto-shrink_900_1200/0/1641590864421?e=1774483200&v=beta&t=zwGtb3bqgHTv8d9SGQuns1K2cSytGFSh5OjpeGEHQwA
